FK_NAME	schema_name	table	column	referenced_schema	referenced_table	referenced_column
FK__leasband__Purge_Status_Id	Horizon	leasband	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_title_Purge_Status_Id	Horizon	title	Purge_Status_Id	Utility	Purge_Status	Id
FK__security__Purge_Status_Id	Horizon	security	Purge_Status_Id	Utility	Purge_Status	Id
FK__spacdisp__Purge_Status_Id	Horizon	spacdisp	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_tnnthist_Purge_Status_Id	Horizon	tnnthist	Purge_Status_Id	Utility	Purge_Status	Id
FK__rtprocedure__Purge_Status_Id	Horizon	rtprocedure	Purge_Status_Id	Utility	Purge_Status	Id
FK__groupvat__Purge_Status_Id	Horizon	groupvat	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_tranhead_Purge_Status_Id	Horizon	tranhead	Purge_Status_Id	Utility	Purge_Status	Id
FK__leasscrr__Purge_Status_Id	Horizon	leasscrr	Purge_Status_Id	Utility	Purge_Status	Id
FK__currconv__Purge_Status_Id	Horizon	currconv	Purge_Status_Id	Utility	Purge_Status	Id
FK__sccalchdr__Purge_Status_Id	Horizon	sccalchdr	Purge_Status_Id	Utility	Purge_Status	Id
FK__statdata__Purge_Status_Id	Horizon	statdata	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_unit_Purge_Status_Id	Horizon	unit	Purge_Status_Id	Utility	Purge_Status	Id
FK__jobtime__Purge_Status_Id	Horizon	jobtime	Purge_Status_Id	Utility	Purge_Status	Id
FK__vathist__Purge_Status_Id	Horizon	vathist	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_unitorgn_Purge_Status_Id	Horizon	unitorgn	Purge_Status_Id	Utility	Purge_Status	Id
FK__leasdpst__Purge_Status_Id	Horizon	leasdpst	Purge_Status_Id	Utility	Purge_Status	Id
FK__codeamaj__Purge_Status_Id	Horizon	codeamaj	Purge_Status_Id	Utility	Purge_Status	Id
FK__leasschdr__Purge_Status_Id	Horizon	leasschdr	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_userdata_Purge_Status_Id	Horizon	userdata	Purge_Status_Id	Utility	Purge_Status	Id
FK__propepc__Purge_Status_Id	Horizon	propepc	Purge_Status_Id	Utility	Purge_Status	Id
FK__hlelhist__Purge_Status_Id	Horizon	hlelhist	Purge_Status_Id	Utility	Purge_Status	Id
FK__glacrulesdt__Purge_Status_Id	Horizon	glacrulesdt	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_valuation_Purge_Status_Id	Horizon	valuation	Purge_Status_Id	Utility	Purge_Status	Id
FK__unitdmse__Purge_Status_Id	Horizon	unitdmse	Purge_Status_Id	Utility	Purge_Status	Id
FK__contact__Purge_Status_Id	Horizon	contact	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_acquire_Purge_Status_Id	Horizon	acquire	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_zone_Purge_Status_Id	Horizon	zone	Purge_Status_Id	Utility	Purge_Status	Id
FK__groupacc__Purge_Status_Id	Horizon	groupacc	Purge_Status_Id	Utility	Purge_Status	Id
FK__STP__NHS_Region_Id__NHS_Region__SK_Id	Reference	STP	NHS_Region_Id	Reference	NHS_Region	SK_Id
FK__leassubl__Purge_Status_Id	Horizon	leassubl	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_addrcomp_Purge_Status_Id	Horizon	addrcomp	Purge_Status_Id	Utility	Purge_Status	Id
FK__gradtype__Purge_Status_Id	Horizon	gradtype	Purge_Status_Id	Utility	Purge_Status	Id
FK__skygltrans__Purge_Status_Id	Horizon	skygltrans	Purge_Status_Id	Utility	Purge_Status	Id
FK__unitpflehd__Purge_Status_Id	Horizon	unitpflehd	Purge_Status_Id	Utility	Purge_Status	Id
FK__budget__Purge_Status_Id	Horizon	budget	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_address_Purge_Status_Id	Horizon	address	Purge_Status_Id	Utility	Purge_Status	Id
FK__addruse__Purge_Status_Id	Horizon	addruse	Purge_Status_Id	Utility	Purge_Status	Id
FK__dpsthist__Purge_Status_Id	Horizon	dpsthist	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_agreements_Purge_Status_Id	Horizon	agreements	Purge_Status_Id	Utility	Purge_Status	Id
FK__codesubr__Purge_Status_Id	Horizon	codesubr	Purge_Status_Id	Utility	Purge_Status	Id
FK__lergrevw__Purge_Status_Id	Horizon	lergrevw	Purge_Status_Id	Utility	Purge_Status	Id
FK__elmthist__Purge_Status_Id	Horizon	elmthist	Purge_Status_Id	Utility	Purge_Status	Id
FK__hlseband__Purge_Status_Id	Horizon	hlseband	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_codesgen_Purge_Status_Id	Horizon	codesgen	Purge_Status_Id	Utility	Purge_Status	Id
FK__CCG__STP_Id__STP__SK_Id	Reference	CCG	STP_Id	Reference	STP	SK_Id
FK__leasallc__Purge_Status_Id	Horizon	leasallc	Purge_Status_Id	Utility	Purge_Status	Id
FK__jobsanal__Purge_Status_Id	Horizon	jobsanal	Purge_Status_Id	Utility	Purge_Status	Id
FK__tnntgrop__Purge_Status_Id	Horizon	tnntgrop	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_codestyp_Purge_Status_Id	Horizon	codestyp	Purge_Status_Id	Utility	Purge_Status	Id
FK__cntcuse__Purge_Status_Id	Horizon	cntcuse	Purge_Status_Id	Utility	Purge_Status	Id
FK__groupper__Purge_Status_Id	Horizon	groupper	Purge_Status_Id	Utility	Purge_Status	Id
FK__ltnthist__Purge_Status_Id	Horizon	ltnthist	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_codeuser_Purge_Status_Id	Horizon	codeuser	Purge_Status_Id	Utility	Purge_Status	Id
FK__codecplt__Purge_Status_Id	Horizon	codecplt	Purge_Status_Id	Utility	Purge_Status	Id
FK__unitpfle__Purge_Status_Id	Horizon	unitpfle	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_company_Purge_Status_Id	Horizon	company	Purge_Status_Id	Utility	Purge_Status	Id
FK__project__Purge_Status_Id	Horizon	project	Purge_Status_Id	Utility	Purge_Status	Id
FK__granldef__Purge_Status_Id	Horizon	granldef	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_demise_Purge_Status_Id	Horizon	demise	Purge_Status_Id	Utility	Purge_Status	Id
FK__applictn__Purge_Status_Id	Horizon	applictn	Purge_Status_Id	Utility	Purge_Status	Id
FK__ubrrate__Purge_Status_Id	Horizon	ubrrate	Purge_Status_Id	Utility	Purge_Status	Id
FK__ppltranln__Purge_Status_Id	Horizon	ppltranln	Purge_Status_Id	Utility	Purge_Status	Id
FK__rateappl__Purge_Status_Id	Horizon	rateappl	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_dmseleas_Purge_Status_Id	Horizon	dmseleas	Purge_Status_Id	Utility	Purge_Status	Id
FK__hlselrhd__Purge_Status_Id	Horizon	hlselrhd	Purge_Status_Id	Utility	Purge_Status	Id
FK__cisrates__Purge_Status_Id	Horizon	cisrates	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_element_Purge_Status_Id	Horizon	element	Purge_Status_Id	Utility	Purge_Status	Id
FK__tnntprop__Purge_Status_Id	Horizon	tnntprop	Purge_Status_Id	Utility	Purge_Status	Id
FK__bankjornln__Purge_Status_Id	Horizon	bankjornln	Purge_Status_Id	Utility	Purge_Status	Id
