TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME
AdventureWorks2014	Person	Address	ModifiedDate
AdventureWorks2014	Person	Address	PostalCode
AdventureWorks2014	Person	Address	rowguid
AdventureWorks2014	Person	Address	SpatialLocation
AdventureWorks2014	Person	Address	StateProvinceID
AdventureWorks2014	Sales	SpecialOfferProduct	ModifiedDate
AdventureWorks2014	Sales	SpecialOfferProduct	ProductID
AdventureWorks2014	Sales	SpecialOfferProduct	rowguid
AdventureWorks2014	Sales	SpecialOfferProduct	SpecialOfferID
AdventureWorks2014	Production	ProductModel	CatalogDescription
AdventureWorks2014	Production	ProductModel	Instructions
AdventureWorks2014	Production	ProductModel	ModifiedDate
AdventureWorks2014	Production	ProductModel	Name
AdventureWorks2014	Production	ProductModel	ProductModelID
AdventureWorks2014	Production	ProductModel	rowguid
AdventureWorks2014	Person	AddressType	AddressTypeID
AdventureWorks2014	Person	AddressType	ModifiedDate
AdventureWorks2014	Person	AddressType	Name
AdventureWorks2014	Person	AddressType	rowguid
AdventureWorks2014	Person	StateProvince	CountryRegionCode
AdventureWorks2014	Person	StateProvince	IsOnlyStateProvinceFlag
AdventureWorks2014	Person	StateProvince	ModifiedDate
AdventureWorks2014	Person	StateProvince	Name
AdventureWorks2014	Person	StateProvince	rowguid
AdventureWorks2014	Person	StateProvince	StateProvinceCode
AdventureWorks2014	Person	StateProvince	StateProvinceID
AdventureWorks2014	Person	StateProvince	TerritoryID
AdventureWorks2014	Production	ProductModelIllustration	IllustrationID
AdventureWorks2014	Production	ProductModelIllustration	ModifiedDate
AdventureWorks2014	Production	ProductModelIllustration	ProductModelID
AdventureWorks2014	dbo	AWBuildVersion	Database Version
AdventureWorks2014	dbo	AWBuildVersion	ModifiedDate
AdventureWorks2014	dbo	AWBuildVersion	SystemInformationID
AdventureWorks2014	dbo	AWBuildVersion	VersionDate
AdventureWorks2014	Production	ProductModelProductDescriptionCulture	CultureID
AdventureWorks2014	Production	ProductModelProductDescriptionCulture	ModifiedDate
AdventureWorks2014	Production	ProductModelProductDescriptionCulture	ProductDescriptionID
AdventureWorks2014	Production	ProductModelProductDescriptionCulture	ProductModelID
AdventureWorks2014	Production	BillOfMaterials	BillOfMaterialsID
AdventureWorks2014	Production	BillOfMaterials	BOMLevel
AdventureWorks2014	Production	BillOfMaterials	ComponentID
AdventureWorks2014	Production	BillOfMaterials	EndDate
AdventureWorks2014	Production	BillOfMaterials	ModifiedDate
AdventureWorks2014	Production	BillOfMaterials	PerAssemblyQty
AdventureWorks2014	Production	BillOfMaterials	ProductAssemblyID
AdventureWorks2014	Production	BillOfMaterials	StartDate
AdventureWorks2014	Production	BillOfMaterials	UnitMeasureCode
AdventureWorks2014	Sales	Store	BusinessEntityID
AdventureWorks2014	Sales	Store	Demographics
AdventureWorks2014	Sales	Store	ModifiedDate
AdventureWorks2014	Sales	Store	Name
AdventureWorks2014	Sales	Store	rowguid
AdventureWorks2014	Sales	Store	SalesPersonID
AdventureWorks2014	Production	ProductPhoto	LargePhoto
AdventureWorks2014	Production	ProductPhoto	LargePhotoFileName
AdventureWorks2014	Production	ProductPhoto	ModifiedDate
AdventureWorks2014	Production	ProductPhoto	ProductPhotoID
AdventureWorks2014	Production	ProductPhoto	ThumbNailPhoto
AdventureWorks2014	Production	ProductPhoto	ThumbnailPhotoFileName
AdventureWorks2014	Production	ProductProductPhoto	ModifiedDate
AdventureWorks2014	Production	ProductProductPhoto	Primary
AdventureWorks2014	Production	ProductProductPhoto	ProductID
AdventureWorks2014	Production	ProductProductPhoto	ProductPhotoID
AdventureWorks2014	Production	TransactionHistory	ActualCost
AdventureWorks2014	Production	TransactionHistory	ModifiedDate
AdventureWorks2014	Production	TransactionHistory	ProductID
AdventureWorks2014	Production	TransactionHistory	Quantity
AdventureWorks2014	Production	TransactionHistory	ReferenceOrderID
AdventureWorks2014	Production	TransactionHistory	ReferenceOrderLineID
AdventureWorks2014	Production	TransactionHistory	TransactionDate
AdventureWorks2014	Production	TransactionHistory	TransactionID
AdventureWorks2014	Production	TransactionHistory	TransactionType
AdventureWorks2014	Production	ProductReview	Comments
AdventureWorks2014	Production	ProductReview	EmailAddress
AdventureWorks2014	Production	ProductReview	ModifiedDate
AdventureWorks2014	Production	ProductReview	ProductID
AdventureWorks2014	Production	ProductReview	ProductReviewID
AdventureWorks2014	Production	ProductReview	Rating
AdventureWorks2014	Production	ProductReview	ReviewDate
AdventureWorks2014	Production	ProductReview	ReviewerName
AdventureWorks2014	Person	BusinessEntity	BusinessEntityID
AdventureWorks2014	Person	BusinessEntity	ModifiedDate
AdventureWorks2014	Person	BusinessEntity	rowguid
AdventureWorks2014	Production	TransactionHistoryArchive	ActualCost
AdventureWorks2014	Production	TransactionHistoryArchive	ModifiedDate
